"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 15:19:34 ICT 2024","Wed Jul 17 15:19:53 ICT 2024","19220","firefox","TC005.spec.ts","","","","Verify Upload file",""
"passed","Wed Jul 17 15:21:53 ICT 2024","Wed Jul 17 15:22:17 ICT 2024","24389","chrome","TC005.spec.ts","","","","Verify Upload file",""
"passed","Wed Jul 17 15:18:37 ICT 2024","Wed Jul 17 15:18:53 ICT 2024","15616","chromium","TC004.spec.ts","","","","Verify Frames",""
"passed","Wed Jul 17 15:20:56 ICT 2024","Wed Jul 17 15:21:13 ICT 2024","17530","edge","TC003.spec.ts","","","","Verify Dropdown",""
"passed","Wed Jul 17 15:18:37 ICT 2024","Wed Jul 17 15:18:56 ICT 2024","18454","chromium","TC002.spec.ts","","","","Verify Drag and Drop",""
"passed","Wed Jul 17 15:21:53 ICT 2024","Wed Jul 17 15:22:11 ICT 2024","17886","chrome","TC006.spec.ts","","","","Verify Dynamically Loaded Page",""
"passed","Wed Jul 17 15:20:55 ICT 2024","Wed Jul 17 15:21:15 ICT 2024","20212","edge","TC001.spec.ts","","","","Verify Checkboxes",""
"passed","Wed Jul 17 15:21:17 ICT 2024","Wed Jul 17 15:21:41 ICT 2024","24644","edge","TC005.spec.ts","","","","Verify Upload file",""
"passed","Wed Jul 17 15:19:09 ICT 2024","Wed Jul 17 15:19:13 ICT 2024","4146","chromium","TC008.spec.ts","","","","Prompt dialog",""
"passed","Wed Jul 17 15:19:15 ICT 2024","Wed Jul 17 15:19:26 ICT 2024","11249","firefox","TC001.spec.ts","","","","Verify Checkboxes",""
"passed","Wed Jul 17 15:20:23 ICT 2024","Wed Jul 17 15:20:45 ICT 2024","21995","webkit","TC006.spec.ts","","","","Verify Dynamically Loaded Page",""
"passed","Wed Jul 17 15:19:02 ICT 2024","Wed Jul 17 15:19:09 ICT 2024","6627","chromium","TC007.spec.ts","","","","Verify input",""
"passed","Wed Jul 17 15:20:38 ICT 2024","Wed Jul 17 15:20:52 ICT 2024","13845","webkit","TC007.spec.ts","","","","Verify input",""
"passed","Wed Jul 17 15:18:37 ICT 2024","Wed Jul 17 15:19:07 ICT 2024","30430","chromium","TC001.spec.ts","","","","Verify Checkboxes",""
"passed","Wed Jul 17 15:21:40 ICT 2024","Wed Jul 17 15:21:50 ICT 2024","10118","chrome","TC002.spec.ts","","","","Verify Drag and Drop",""
"passed","Wed Jul 17 15:19:16 ICT 2024","Wed Jul 17 15:19:28 ICT 2024","12124","firefox","TC002.spec.ts","","","","Verify Drag and Drop",""
"passed","Wed Jul 17 15:20:18 ICT 2024","Wed Jul 17 15:20:53 ICT 2024","35433","webkit","TC004.spec.ts","","","","Verify Frames",""
"passed","Wed Jul 17 15:19:00 ICT 2024","Wed Jul 17 15:19:33 ICT 2024","33139","chromium","TC005.spec.ts","","","","Verify Upload file",""
"failed","Wed Jul 17 15:20:04 ICT 2024","Wed Jul 17 15:20:33 ICT 2024","28536","webkit","TC002.spec.ts","","","","Verify Drag and Drop",""
"passed","Wed Jul 17 15:19:53 ICT 2024","Wed Jul 17 15:20:01 ICT 2024","8096","firefox","TC008.spec.ts","","","","Prompt dialog",""
"passed","Wed Jul 17 15:22:02 ICT 2024","Wed Jul 17 15:22:09 ICT 2024","7575","chrome","TC007.spec.ts","","","","Verify input",""
"passed","Wed Jul 17 15:20:45 ICT 2024","Wed Jul 17 15:20:54 ICT 2024","9021","webkit","TC008.spec.ts","","","","Prompt dialog",""
"passed","Wed Jul 17 15:19:38 ICT 2024","Wed Jul 17 15:19:56 ICT 2024","17399","firefox","TC004.spec.ts","","","","Verify Frames",""
"passed","Wed Jul 17 15:21:28 ICT 2024","Wed Jul 17 15:21:37 ICT 2024","8916","edge","TC008.spec.ts","","","","Prompt dialog",""
"passed","Wed Jul 17 15:20:04 ICT 2024","Wed Jul 17 15:20:18 ICT 2024","14504","webkit","TC001.spec.ts","","","","Verify Checkboxes",""
"passed","Wed Jul 17 15:21:17 ICT 2024","Wed Jul 17 15:21:46 ICT 2024","29267","edge","TC006.spec.ts","","","","Verify Dynamically Loaded Page",""
"passed","Wed Jul 17 15:21:43 ICT 2024","Wed Jul 17 15:22:05 ICT 2024","21589","chrome","TC003.spec.ts","","","","Verify Dropdown",""
"passed","Wed Jul 17 15:18:37 ICT 2024","Wed Jul 17 15:18:51 ICT 2024","14061","chromium","TC003.spec.ts","","","","Verify Dropdown",""
"passed","Wed Jul 17 15:19:02 ICT 2024","Wed Jul 17 15:19:35 ICT 2024","33472","chromium","TC006.spec.ts","","","","Verify Dynamically Loaded Page",""
"passed","Wed Jul 17 15:19:33 ICT 2024","Wed Jul 17 15:19:48 ICT 2024","15018","firefox","TC003.spec.ts","","","","Verify Dropdown",""
"passed","Wed Jul 17 15:20:56 ICT 2024","Wed Jul 17 15:21:17 ICT 2024","21217","edge","TC002.spec.ts","","","","Verify Drag and Drop",""
"passed","Wed Jul 17 15:19:48 ICT 2024","Wed Jul 17 15:19:58 ICT 2024","9632","firefox","TC007.spec.ts","","","","Verify input",""
"passed","Wed Jul 17 15:21:48 ICT 2024","Wed Jul 17 15:22:00 ICT 2024","11905","chrome","TC004.spec.ts","","","","Verify Frames",""
"passed","Wed Jul 17 15:21:20 ICT 2024","Wed Jul 17 15:21:31 ICT 2024","10210","edge","TC007.spec.ts","","","","Verify input",""
"passed","Wed Jul 17 15:20:06 ICT 2024","Wed Jul 17 15:20:22 ICT 2024","16434","webkit","TC003.spec.ts","","","","Verify Dropdown",""
"passed","Wed Jul 17 15:20:21 ICT 2024","Wed Jul 17 15:20:59 ICT 2024","38043","webkit","TC005.spec.ts","","","","Verify Upload file",""
"passed","Wed Jul 17 15:21:33 ICT 2024","Wed Jul 17 15:21:48 ICT 2024","14597","chrome","TC001.spec.ts","","","","Verify Checkboxes",""
"passed","Wed Jul 17 15:22:07 ICT 2024","Wed Jul 17 15:22:13 ICT 2024","5986","chrome","TC008.spec.ts","","","","Prompt dialog",""
"passed","Wed Jul 17 15:21:05 ICT 2024","Wed Jul 17 15:21:25 ICT 2024","19891","edge","TC004.spec.ts","","","","Verify Frames",""
"passed","Wed Jul 17 15:19:38 ICT 2024","Wed Jul 17 15:20:11 ICT 2024","32970","firefox","TC006.spec.ts","","","","Verify Dynamically Loaded Page",""
